feature_name,feature_description,datatype
df_cc_id,Unique Idendifier of each row,Number
efx_affluence_index,"The Affluence Index - Provides a household-level continuous score ranging from 1 to 1,000, with a rating of 1,000 representing the highest estimated level of spending power.",Number
efx_financial_durability_index,"Provides a household-level score continuous score of 1-1000  (1000 represents highest economic capacity and financial resilience) Segment households by economic capacity and Targeting for prospecting, cross-sell, or upsell.",Number
efx_total_income360,"Dollar Value of Total Income (e.g. 175000, Total Annual, Household Income = (Salary_Income360 + NonSalary_Income360)",Number
efx_salary_income360,"Income360 Salary - Dollar Value of Wage & Salary Income (e.g. 100000 = $100,000 Dollars)",Number
efx_non_salary_income360,"Income360 NonSalary - Dollar Value of NonSalary Income (Investments, Business, and Retirement) (e.g. 75000 = $75,000 Dollars)",Number
spd_income_sd_plus_v3,Income predictor Score (in $'000),Number
spd_wealth_sd_plus_v4,SD Net Worth Model ($000s). Designed for Financial Services Advertising (FSA),Number
spd_investor_sd_plus_v5_checking,Investable Taxable Assets - Checking Accounts Predictor Score ($000s). Designed for Financial Services Advertising (FSA),Number
spd_investor_sd_plus_v5_savings,Investable Taxable Assets - Savings/IMMA/CD Predictor Score ($000s). Designed for Financial Services Advertising (FSA),Number
spd_spendex_plus_v3,Discretionary Spending Predictor Score ($). Designed for Financial Services Advertising (FSA),Number
exp_estimated_household_income_amount_v6,Estimated Household Income Amount V6: Total estimated income for a living unit incorporating several highly predictive individual and household level variables. Multiple statistical methodologies are used to predict the income estimate for the living unit. Values=001-250; in thousands. 000=Unknown,Number
spd_bc_1st_contact_email,This element predicts an individual's level of preference towards email as the initial contact channel when learning about new products/services (7= high preference for email; 1 = low preference for email). | RANGE: 1 to 7,Number
spd_bc_content_infographic,This element predicts an individual's level of preference for infographics when learning about new products/services on a scale from 1 to 7 (7=high level of preference for infographics; 1=low level of preference for infographics; 0=not applicable). | RANGE: 0 to 7,Number
spd_bc_content_video,This element predicts an individual's level of preference for videos when learning about new products/services on a scale from 1 to 7 (7=high level of preference for videos; 1=low level of preference for videos; 0=not applicable). | RANGE: 0 to 7,Number
spd_channel_sd_banner_scale,Likelihood of Responding to a Banner Ad (7=most likely to respond)),Number
spd_channel_sd_intertv_scale,Likelihood of Responding to an Interactive TV Offer (7=most likely to respond),Number
spd_scr_email_dynabase,Email Open Propensity v2 - 0 (least likely to be opened) to 999 (most likely to be opened),Number
